TransactionID,EquipmentID,CustomerID,StartDate,EndDate,RentalDays,DailyRate,BaseRevenue,ActualRevenue,Status,load_timestamp,source_file,pipeline_run_id,quarantined,quarantine_reason
TXN01140,EQ001,CUST001,2024-11-02,2024-11-07,5.0,850,4250,4250.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01125,EQ001,CUST011,2024-11-08,2024-11-22,14.0,850,11900,10115.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01230,EQ001,CUST011,2025-01-08,2025-01-15,7.0,850,5950,5950.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01105,EQ002,CUST009,2024-11-05,2024-11-10,5.0,850,4250,4250.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01217,EQ002,CUST007,2025-01-24,2025-01-29,5.0,850,4250,4250.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01173,EQ003,CUST015,2024-12-20,2024-12-22,2.0,720,1440,1640.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01032,EQ004,CUST004,2024-09-18,2024-09-21,3.0,720,2160,2310.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01046,EQ005,CUST005,2024-10-04,2024-10-06,2.0,550,1100,1062.5,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01051,EQ005,CUST001,2024-10-29,2024-11-03,5.0,550,2750,2612.5,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01127,EQ005,CUST008,2024-11-10,2024-12-08,28.0,550,15400,14630.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01202,EQ005,CUST008,2025-01-15,2025-01-17,2.0,550,1100,1100.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01211,EQ005,CUST015,2025-01-21,2025-01-26,5.0,550,2750,2750.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01047,EQ007,CUST011,2024-10-09,2024-10-23,14.0,480,6720,6720.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01104,EQ007,CUST005,2024-11-06,2024-11-09,3.0,480,1440,1590.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01237,EQ007,CUST015,2025-01-10,2025-01-11,1.0,480,480,480.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01191,EQ007,CUST005,2025-01-25,2025-02-22,28.0,480,13440,11424.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01076,EQ008,CUST005,2024-10-29,2024-11-03,5.0,480,2400,2430.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01234,EQ008,CUST012,2025-01-04,2025-01-18,14.0,480,6720,6584.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01231,EQ008,CUST010,2025-01-22,2025-01-29,7.0,480,3360,3192.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01005,EQ009,CUST013,2024-09-15,2024-09-16,1.0,280,280,266.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01147,EQ009,CUST001,2024-12-22,2024-12-29,7.0,280,1960,1862.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01036,EQ010,CUST007,2024-09-24,2024-10-08,14.0,280,3920,4120.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01100,EQ010,CUST004,2024-11-08,2024-11-15,7.0,280,1960,1960.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01041,EQ011,CUST015,2024-09-22,2024-09-27,5.0,350,1750,2000.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01177,EQ011,CUST011,2024-12-05,2024-12-10,5.0,350,1750,1750.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01088,EQ012,CUST003,2024-10-24,2024-11-07,14.0,350,4900,4410.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01012,EQ013,CUST005,2024-09-19,2024-09-21,2.0,220,440,690.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01008,EQ013,CUST005,2024-09-27,2024-10-04,7.0,220,1540,1740.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01048,EQ014,CUST014,2024-10-01,2024-10-06,5.0,220,1100,1100.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01123,EQ014,CUST001,2024-11-12,2024-11-15,3.0,220,660,660.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01126,EQ014,CUST002,2024-11-27,2024-11-30,3.0,220,660,627.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01017,EQ015,CUST009,2024-09-18,2024-09-23,5.0,280,1400,1330.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01081,EQ016,CUST001,2024-10-22,2024-10-29,7.0,280,1960,1960.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01131,EQ016,CUST006,2024-11-25,2024-11-30,5.0,280,1400,1400.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
