TransactionID,EquipmentID,CustomerID,StartDate,EndDate,RentalDays,DailyRate,BaseRevenue,ActualRevenue,Status,load_timestamp,source_file,pipeline_run_id,quarantined,quarantine_reason
TXN01019,EQ001,CUST012,2024-09-09,2024-10-07,28.0,850,23800,20230.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01019,TXN01002"
TXN01002,EQ001,CUST009,2024-09-21,2024-09-24,3.0,850,2550,2750.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01002,TXN01003"
TXN01003,EQ001,CUST013,2024-09-23,2024-10-14,21.0,850,17850,17850.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01002,TXN01003"
TXN01140,EQ001,CUST001,2024-11-02,2024-11-07,5.0,850,4250,4250.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01125,EQ001,CUST011,2024-11-08,2024-11-22,14.0,850,11900,10115.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01130,EQ001,CUST005,2024-11-27,2024-12-11,14.0,850,11900,11900.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01130,TXN01165"
TXN01165,EQ001,CUST001,2024-12-08,2024-12-29,21.0,850,17850,15172.5,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01130,TXN01165"
TXN01230,EQ001,CUST011,2025-01-08,2025-01-15,7.0,850,5950,5950.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,False,
TXN01037,EQ002,CUST010,2024-09-02,2024-09-23,21.0,850,17850,17207.5,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01037,TXN01007"
TXN01007,EQ002,CUST011,2024-09-10,,,850,2550,2422.5,active,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01007,TXN01035"
TXN01035,EQ002,CUST003,2024-09-13,2024-09-18,5.0,850,4250,4250.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01035,TXN01028"
TXN01028,EQ002,CUST014,2024-09-17,2024-09-22,5.0,850,4250,4500.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01035,TXN01028"
TXN01055,EQ002,CUST014,2024-10-07,2024-10-14,7.0,850,5950,5950.0,completed,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01055,TXN01059"
TXN01059,EQ002,CUST002,2024-10-12,2024-10-26,14.0,850,11900,11305.0,cancelled,2026-03-02 23:16:44.361556,data/Equipment_Hire_Dataset.xlsx,,True,"Overlapping rental with TransactionID(s): TXN01059,TXN01078"
